Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
1.446434208,-0.52885025,0.946182404,9.747879181,9.807960657
1.456486208,-0.721349945,0.921034698,9.746382294,9.816344456
1.466538208,-0.809067535,0.969234467,9.718390503,9.800057127
1.476590208,-0.826281738,1.080153809,9.633966064,9.729479734
1.486642208,-0.852477264,1.121467896,9.472601624,9.576773426
1.496693208,-0.84244812,1.130149841,9.282646637,9.389062045
1.506745208,-0.808319092,1.130449219,9.154064026,9.258951527
1.516797208,-0.664767609,1.140478363,9.163494415,9.258090341
1.526849208,-0.508791962,1.079704742,9.277108154,9.353575108
1.536901208,-0.436641998,1.021026764,9.448052673,9.513088416
1.546952208,-0.400417328,0.918639679,9.602830811,9.654977601
1.557004208,-0.332758026,0.844992828,9.695488129,9.737927441
1.567056208,-0.216150513,0.810414734,9.82751358,9.863240657
1.577108208,-0.098195801,0.787362671,9.953401794,9.984978201
1.587160208,-0.013172607,0.73482193,9.997110901,10.02408914
1.597211208,0.07843689,0.684975586,10.01148102,10.03519288
1.607263208,0.171842651,0.631387024,9.98199234,10.00341694
1.617315208,0.264499969,0.582139435,9.962233429,9.982732164
1.627367208,0.312100983,0.547860718,9.95040802,9.970364996
1.637419208,0.327967987,0.523611145,9.971663818,9.990786302
1.647470208,0.281115417,0.504001923,10.02854553,10.0451366
1.657522208,0.276924133,0.493224335,10.03992188,10.0558435
1.667574208,0.280366974,0.51717453,10.07090744,10.08807473
1.677626208,0.266894989,0.539029083,10.01686981,10.03491236
1.687678208,0.26090744,0.560135193,9.944420471,9.963599883
1.697729208,0.288599854,0.578546906,9.848919067,9.870117182
1.707781208,0.253722382,0.620010681,9.769733734,9.792675096
1.717833208,0.204175415,0.618513794,9.721234589,9.743030783
1.727885208,0.16615448,0.635129242,9.711355133,9.733520174
1.737937208,0.107326813,0.646655273,9.704918518,9.727030664
1.747988208,0.037272491,0.679586792,9.676777039,9.700682517
1.758040667,-0.027991791,0.686771851,9.619895325,9.64441938
1.768092667,-0.062270508,0.697100372,9.629325714,9.654726317
1.778144667,-0.090411987,0.689915314,9.658215637,9.683247738
1.788196667,-0.109123077,0.677940216,9.711953888,9.736198391
1.798247667,-0.104033661,0.679886169,9.780511322,9.804665722
1.808299667,-0.11705658,0.661923523,9.833650818,9.85659847
1.818351667,-0.145796814,0.62480072,9.853559418,9.874424836
1.828403667,-0.18366806,0.622854767,9.871522064,9.892857518
1.838455667,-0.210013275,0.618364105,9.831405487,9.853071277
1.848506667,-0.217198334,0.603844299,9.796378326,9.817373955
1.858558667,-0.239801331,0.592168579,9.777966614,9.798816225
1.868610667,-0.236657867,0.561482391,9.773925018,9.792899452
1.878662667,-0.238154755,0.557740173,9.749525757,9.768369581
1.888714667,-0.253273315,0.552501068,9.741442566,9.760384627
1.898765667,-0.31479538,0.543669434,9.751322021,9.771537942
1.908817667,-0.40490799,0.557740173,9.754914551,9.779232203
1.918869667,-0.484841766,0.579445038,9.821825409,9.850841713
1.928921667,-0.508642273,0.624950409,9.842632141,9.875560108
1.938973667,-0.440084839,0.659678192,9.729467468,9.761730748
1.949024667,-0.298778687,0.678089905,9.629625092,9.65809267
1.959076667,-0.154029694,0.664019165,9.589807892,9.614003433
1.969128667,-0.027093658,0.667162628,9.620194702,9.643338952
1.979180667,0.060474243,0.662971344,9.674531708,9.697409546
1.989232667,0.042212219,0.615070953,9.743837585,9.763322439
1.999283667,-0.024848328,0.545465698,9.771829376,9.787073088
2.009335667,-0.055534515,0.521964569,9.799222412,9.813271166
2.019387667,-0.049696655,0.529748383,9.798623657,9.813059089
2.029439667,-0.022004242,0.540376282,9.766141205,9.781104475
2.039491667,0.0199086,0.521365814,9.729766846,9.743745765
2.049542667,0.055085449,0.506247253,9.740694122,9.753996241
2.059594667,0.083675995,0.480500793,9.735754395,9.747963701
2.069646667,0.084873505,0.461490326,9.789342957,9.800582246
2.079698667,0.0490979,0.437540131,9.830207977,9.840063051
2.089750667,0.010627899,0.427211609,9.904004517,9.913219869
2.099801667,-0.026494904,0.433348846,9.933792572,9.94327552
2.109853667,-0.057031403,0.441881104,9.950258331,9.960228529
2.119905667,-0.036374359,0.459244995,9.92930191,9.939983173
2.129957667,0.007933502,0.485440521,9.859247589,9.871194379
2.140009667,0.026345215,0.487386475,9.79592926,9.808081857
2.150060667,0.029937744,0.497714996,9.765991516,9.778711918
2.160112667,0.025896149,0.491577759,9.73740097,9.74983574
2.170164667,-0.011376343,0.491877136,9.744735718,9.757148495
2.180216667,-0.041613464,0.504001923,9.785600739,9.798659675
2.190268667,-0.0597258,0.505349121,9.8299086,9.843071065
2.200319667,-0.064665527,0.495769043,9.854158173,9.866833426
2.210371667,-0.09595047,0.476309509,9.84861969,9.860597702
2.220423667,-0.082179108,0.447868652,9.807904358,9.818468701
2.230475667,-0.072748718,0.446072388,9.77721817,9.787658969
2.240527667,-0.093106384,0.447419586,9.785001984,9.795668272
2.250578667,-0.10418335,0.447868652,9.768536224,9.779352763
2.260630667,-0.130528564,0.432001648,9.751771088,9.762207869
2.270682667,-0.178428955,0.42586441,9.787546692,9.798431897
2.280734667,-0.207767944,0.430504761,9.797575836,9.809230048
2.290786667,-0.223634949,0.448766785,9.816735992,9.82953253
2.300837667,-0.232167206,0.442479858,9.824519806,9.837219091
2.310889667,-0.237855377,0.437689819,9.795031128,9.80768996
2.320941667,-0.232765961,0.463885345,9.759854279,9.773644415
2.330993667,-0.235610046,0.474363556,9.73740097,9.751795247
2.341045667,-0.216300201,0.502505035,9.756261749,9.771588428
2.351096667,-0.203277283,0.516875153,9.777667236,9.793429336
2.361148667,-0.199984131,0.53124527,9.828112335,9.844491214
2.371200667,-0.195643158,0.536334686,9.841434631,9.857979851
2.381252667,-0.182021484,0.520317993,9.880503387,9.895868321
2.391304667,-0.192948761,0.486188965,9.82167572,9.835594689
2.401355667,-0.198786621,0.539777527,9.768087158,9.785009077
2.411407667,-0.174537048,0.633632355,9.771679688,9.793757045
2.421459667,-0.227975922,0.650696869,9.732161865,9.756554413
2.431511667,-0.35925293,0.604443054,9.657018127,9.682582981
2.441563667,-0.381706238,0.594713287,9.602681122,9.62864831
2.451614667,-0.316142578,0.593665466,9.556427307,9.580067207
2.461666667,-0.209264832,0.596210175,9.536518707,9.557428911
2.471718667,-0.145497437,0.556243286,9.565708008,9.582971657
2.481770667,-0.094004517,0.499511261,9.62049408,9.633911702
2.491822667,-0.039368134,0.502654724,9.70821167,9.721295461
2.501873667,-0.012573853,0.476459198,9.764644318,9.776269745
2.511925667,-0.013771362,0.453556824,9.803862762,9.814358283
2.521977667,-0.031434631,0.430654449,9.827962646,9.837443833
2.532029667,-0.024698639,0.391735382,9.855505371,9.863318547
2.542081667,0.00703537,0.365988922,9.847122803,9.853924339
2.552132667,0.045056305,0.338595886,9.828860779,9.834794429
2.562184667,0.098944244,0.337697754,9.808054047,9.814364672
2.572236667,0.135168915,0.351768494,9.80416214,9.811401886
2.582288667,0.169597321,0.337548065,9.830657043,9.837912373
2.592340667,0.170196075,0.304915924,9.868378601,9.87455501
2.602391667,0.164358215,0.298628998,9.860894165,9.866784007
2.612443667,0.194295959,0.32527359,9.829459534,9.836759047
2.622495667,0.18366806,0.351319427,9.810598755,9.818605157
2.632547667,0.153430939,0.334554291,9.807006226,9.813910471
2.642599667,0.090561676,0.332907715,9.814939728,9.821001518
2.652650667,0.045804749,0.345331879,9.808503113,9.814687234
2.662702667,0.008083191,0.355510712,9.798923035,9.805373315
2.672754667,-0.060623932,0.371976471,9.769584045,9.776850934
2.682806667,-0.170944519,0.385747833,9.740095367,9.749229774
2.692858667,-0.280366974,0.396525421,9.74219101,9.754287453
2.702909667,-0.350570984,0.428858185,9.750423889,9.766144857
2.712961667,-0.329764252,0.520467682,9.749974823,9.769423735
2.723013667,-0.080233154,0.836460571,9.615254974,9.651903018
2.733065667,-0.313897247,0.471220093,9.38757843,9.404637613
2.743117667,-0.484243011,0.289797363,9.609417114,9.625973773
2.753168667,-0.389340363,0.389340363,9.800868988,9.816323383
2.763220417,-0.260009308,0.521216125,9.889185333,9.906324124
2.773272417,-0.185164948,0.499810638,9.941127319,9.955406024
2.783324417,-0.183368683,0.445323944,9.939181366,9.950842362
2.793376417,-0.162711639,0.442629547,9.898016968,9.909244971
2.803427417,-0.149389343,0.412542114,9.857301636,9.867061554
2.813479417,-0.126187592,0.359402618,9.842183075,9.849551321
2.823531417,-0.100890198,0.341290283,9.836195526,9.842631778
2.833583417,-0.041463776,0.305963745,9.830956421,9.835803841
2.843635417,0.029039612,0.277223511,9.818083191,9.822039183
2.853686417,0.127385101,0.267044678,9.823771362,9.828225862
2.863738417,0.179776154,0.262703705,9.809401245,9.814564967
2.873790417,0.203876038,0.216300201,9.781559143,9.786074314
2.883842417,0.196690979,0.19190094,9.781708832,9.785567995
2.893894417,0.188607788,0.242645416,9.772128754,9.776960165
2.903945417,0.196241913,0.28321106,9.768835602,9.774910148
2.913997417,0.170345764,0.295485535,9.744286652,9.750253932
2.924049417,0.153430939,0.31120285,9.759105835,9.765271884
2.934101417,0.159418488,0.350271606,9.749974823,9.757566987
2.944153417,0.114811249,0.361947327,9.751172333,9.758562873
2.954204417,0.042661285,0.399818573,9.750723267,9.75901015
2.964256417,-0.005538483,0.435145111,9.72931778,9.739045456
2.974308417,-0.023052063,0.461939392,9.756411438,9.767368302
2.984360417,-0.038919067,0.458346863,9.762249298,9.773080778
2.994412417,-0.050744476,0.42825943,9.791737976,9.801230215
3.004463417,-0.06556366,0.402812347,9.844877472,9.853332879
3.014515417,-0.102387085,0.360749817,9.863438873,9.870564824
3.024567417,-0.136815491,0.356408844,9.865384827,9.872768787
3.034619417,-0.184117126,0.369282074,9.858948212,9.867579653
3.044671417,-0.216898956,0.382454681,9.851463776,9.861270469
3.054722417,-0.264649658,0.39203476,9.838141479,9.849505493
3.064774417,-0.297281799,0.376018066,9.808503113,9.820208723
3.074826417,-0.28904892,0.376317444,9.782906342,9.794407618
3.084878417,-0.305963745,0.346679077,9.716145172,9.727141266
3.094930417,-0.360899506,0.305215302,9.690548401,9.702068498
3.104982417,-0.358504486,0.295186157,9.725126495,9.736207973
3.115033417,-0.312849426,0.304317169,9.77602066,9.785758205
3.125085417,-0.282462616,0.296383667,9.742789764,9.75138866
3.135137417,-0.255518646,0.300125885,9.762398987,9.77035308
3.145189417,-0.194595337,0.290695496,9.717192993,9.723487588
3.155240417,-0.093256073,0.30776001,9.686955872,9.692292143
3.165292417,-0.013172607,0.333955536,9.697434082,9.703191619
3.175344417,0.035925293,0.323776703,9.642049255,9.647550768
3.185396417,0.063767395,0.348625031,9.600286102,9.606825643
3.195448417,0.083975372,0.386346588,9.620194702,9.628315619
3.205500417,0.069754944,0.414787445,9.624984741,9.63417073
3.215551417,0.035176849,0.426612854,9.612710266,9.622236466
3.225603417,0.060025177,0.450113983,9.627978516,9.638681233
3.235655417,0.087567902,0.454754333,9.617350616,9.628494302
3.245707417,0.099093933,0.429606628,9.605674896,9.615787626
3.255759417,0.109123077,0.383203125,9.606573029,9.614832179
3.265810417,0.114362183,0.365689545,9.628726959,9.636347358
3.275862417,0.12289444,0.347726898,9.662706299,9.669741985
3.285914417,0.114062805,0.357007599,9.617949371,9.625248821
3.295966417,0.080083466,0.329315186,9.619146881,9.62511551
3.306017417,0.009879456,0.278720398,9.610914001,9.61495973
3.316069417,-0.100740509,0.217048645,9.716594238,9.719540234
3.326121417,-0.181123352,0.189356232,9.854158173,9.857641439
3.336173417,-0.242795105,0.211959229,10.03198837,10.03716429
3.346225417,-0.246387634,0.268990631,10.11865814,10.12523113
3.356277417,-0.204923859,0.328417053,10.16027161,10.16764332
3.366328417,-0.172142029,0.301473083,10.13138168,10.13732774
3.376380417,-0.150437164,0.260757751,10.02869522,10.03321254
3.386432417,-0.134121094,0.18726059,9.951455841,9.954121174
3.396484417,-0.145497437,0.087418213,9.904154205,9.905608612
3.406536417,-0.174087982,0.007185059,9.841734009,9.84327621
3.416587417,-0.163460083,-0.03861969,9.757608948,9.759054414
3.426639417,-0.154628448,-0.029338989,9.68710556,9.688384017
3.436691417,-0.175584869,-0.04445755,9.595346375,9.597055724
3.446743417,-0.134869537,-0.004490662,9.545050964,9.546004812
3.456795417,0.19893631,0.339793396,9.498946838,9.507103988
3.466846417,0.020058289,0.019459534,9.51167038,9.511711435
3.476898417,-0.235460358,-0.29368927,9.826914825,9.834121717
3.486950417,-0.243244171,-0.315094757,10.10488678,10.11272413
3.497002417,0.003891907,-0.04445755,10.27149033,10.27158727
3.507054417,0.158969421,0.036374359,10.31879196,10.32008052
3.517105417,0.110619965,-0.044607239,10.32343231,10.32412133
3.527157417,0.089214478,-0.044008484,10.25053391,10.2510166
3.537209417,0.117206268,0.034428406,10.08497818,10.085718
3.547261417,0.116906891,0.107925568,10.00175125,10.00301671
3.557313417,0.069305878,0.156275024,9.908944244,9.910418822
3.567364417,-0.007484436,0.238304443,9.795330505,9.798231715
3.577416417,-0.077838135,0.301173706,9.69997879,9.704965374
3.587468417,-0.149838409,0.341889038,9.609267426,9.616514967
3.597520417,-0.192350006,0.374820557,9.559271393,9.568550493
3.607572417,-0.230969696,0.406853943,9.567204895,9.578636993
3.617623417,-0.232765961,0.445922699,9.579030304,9.592228553
3.627675417,-0.214803314,0.508043518,9.563911743,9.579804618
3.637727417,-0.239801331,0.512085114,9.585167542,9.601831734
3.647779417,-0.294138336,0.504600677,9.6122612,9.629989854
3.657831417,-0.31704071,0.519120483,9.607171783,9.626409017
3.667882417,-0.318387909,0.529449005,9.63097229,9.650767553
3.677934417,-0.344284058,0.520767059,9.664053497,9.684196396
3.687986417,-0.353564758,0.481099548,9.66839447,9.686811469
3.698038417,-0.358354797,0.463585968,9.617799683,9.635631834
3.708090417,-0.366138611,0.456400909,9.624685364,9.64245444
3.718141417,-0.38963974,0.437540131,9.613608398,9.631444696
3.728193417,-0.424966278,0.400716705,9.609566803,9.627302029
3.738245417,-0.465382233,0.362845459,9.654772797,9.672790456
3.748297417,-0.521365814,0.362097015,9.735305328,9.755977983
3.758349417,-0.557141418,0.373323669,9.850715332,9.873518607
3.768399708,-0.537532196,0.386795654,9.959089966,9.981083342
3.778451708,-0.469872894,0.392483826,10.00085312,10.0195752
3.788503708,-0.368234253,0.377514954,9.988279266,10.0021916
3.798555708,-0.233514404,0.357007599,9.927505646,9.936667034
3.808607708,-0.113164673,0.312699738,9.853709106,9.859318969
3.818658708,-0.008532257,0.293838959,9.789941711,9.794354131
3.828710708,0.037272491,0.273331604,9.774823151,9.778714999
3.838762708,0.033380585,0.261206818,9.746382294,9.74993903
3.848814708,-0.015717316,0.263152771,9.757459259,9.761019804
3.858866708,-0.084424438,0.270786896,9.731862488,9.735995096
3.868917708,-0.145946503,0.254321136,9.708361359,9.712788471
3.878969708,-0.17902771,0.250728607,9.70940918,9.714295773
3.889021708,-0.209115143,0.243693237,9.760602722,9.765883526
3.899073708,-0.244142303,0.219443665,9.783205719,9.788711617
3.909125708,-0.269589386,0.186811523,9.802515564,9.808001242
3.919176708,-0.317789154,0.154628448,9.825118561,9.831472659
3.929228708,-0.338745575,0.145647125,9.836345215,9.843253976
3.939280708,-0.348924408,0.183967438,9.842632141,9.850532967
3.949332708,-0.337398376,0.205372925,9.84038681,9.848310935
3.959384708,-0.347277832,0.229023743,9.799671478,9.808497074
3.969435708,-0.344882813,0.277373199,9.759255524,9.769285973
3.979487708,-0.318986664,0.315394135,9.760003967,9.770307231
3.989539708,-0.331710205,0.336500244,9.769284668,9.780704831
3.999591708,-0.343535614,0.359402618,9.765991516,9.778638824
4.009643708,-0.349223785,0.392633514,9.764195251,9.778324357
4.019694708,-0.320932617,0.423768768,9.762099609,9.7765621
4.029746708,-0.28785141,0.445473633,9.806706848,9.821038865
4.039798708,-0.261805573,0.475261688,9.844877472,9.859818876
4.049850708,-0.234711914,0.476459198,9.853858795,9.868162757
4.059902708,-0.224383392,0.476309509,9.855355682,9.869410027
4.069953708,-0.212557983,0.464334412,9.833201752,9.846453373
4.080005708,-0.183518372,0.473615112,9.843081207,9.856177653
4.090057708,-0.181422729,0.446371765,9.837991791,9.849783979
4.100109708,-0.211360474,0.401465149,9.850715332,9.86115815
4.110161708,-0.216898956,0.349972229,9.862091675,9.870682748
4.120213708,-0.216749268,0.331410828,9.837991791,9.845958351
4.130264708,-0.223036194,0.298179932,9.805060272,9.812128381
4.140316708,-0.240400085,0.267044678,9.798473969,9.805059774
4.150368708,-0.245040436,0.229173431,9.798773346,9.804515509
4.160420708,-0.246088257,0.21180954,9.797276459,9.802655187
4.170472708,-0.248183899,0.182769928,9.791887665,9.796737423
4.180523708,-0.254620514,0.158969421,9.78305603,9.787659995
4.190575708,-0.252824249,0.148341522,9.748178558,9.752584812
4.200627708,-0.243094482,0.138761444,9.756561127,9.76057553
4.210679708,-0.254171448,0.136067047,9.742340698,9.746605545
4.220731708,-0.242346039,0.111667786,9.713899841,9.717564068
4.230782708,-0.223634949,0.127983856,9.680519257,9.683947828
4.240834708,-0.195643158,0.148790588,9.650731201,9.653860761
4.250886708,-0.158670044,0.142503662,9.648635559,9.650992261
4.260938708,-0.104033661,0.161963196,9.657317505,9.659235812
4.270990708,-0.056282959,0.170645142,9.62977478,9.631451077
4.281041708,-0.041613464,0.176932068,9.605375519,9.60709506
4.291093708,-0.05493576,0.1778302,9.616602173,9.618403135
4.301145708,-0.046104126,0.206121368,9.602082367,9.604405103
4.311197708,-0.041314087,0.225131836,9.628277893,9.630998203
4.321249708,-0.054337006,0.236059113,9.616003418,9.619053911
4.331300708,-0.054786072,0.258662109,9.534123688,9.537789162
4.341352708,-0.04326004,0.284109192,9.576335907,9.580647101
4.351404708,-0.038919067,0.294587402,9.662706299,9.667274148
4.361456708,-0.099542999,0.25042923,9.761201477,9.764920782
4.371508708,-0.075742493,0.247136078,9.88604187,9.889420459
4.381559708,-0.023052063,0.247734833,10.03004242,10.03312787
4.391611708,-0.019010468,0.211061096,10.18257523,10.18478014
4.401663708,-0.032482452,0.149089966,10.20936951,10.21050972
4.411715708,-0.044607239,0.101488953,10.05983047,10.06044129
4.421767708,0.027692413,0.107775879,9.879605255,9.880231906
4.431818708,0.135617981,0.133222961,9.752818909,9.754671561
4.441870708,0.226928101,0.183967438,9.667496338,9.67190911
4.451922708,0.292342072,0.186212769,9.655670929,9.661890093
4.461974708,0.283809814,0.146844635,9.733808441,9.739052219
4.472026708,0.23052063,0.09714798,9.811646576,9.814834997
4.482077708,0.1977388,0.05029541,9.882449341,9.884555389
