Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
2.835100208,2.175276489,-4.190236359,8.366701355,9.606851727
2.845152208,3.56872879,-3.069217529,7.001540222,8.43667511
2.855204208,4.184847565,-2.287992096,6.881489868,8.372739084
2.865255208,4.315675507,-2.094294891,7.87227951,9.21867186
2.875307208,4.348307648,-1.844314728,8.534502411,9.754332761
2.885359208,3.719315643,-1.527124329,8.590036926,9.484416269
2.895411208,3.565884705,-1.401834869,7.611821136,8.521765999
2.905463208,3.088527374,-1.233584747,6.560557251,7.355381983
2.915514208,2.521955566,-1.139580231,5.025649109,5.737251254
2.925566208,2.447709961,-1.126856689,4.041894836,4.857777673
2.935618208,2.64440094,-1.179098053,3.557352448,4.586707423
2.945670208,3.004102936,-1.202748871,3.972139893,5.12339093
2.955721208,5.150339813,-1.07536377,4.834646301,7.145362992
2.965773208,6.679110718,-0.634380798,4.640799408,8.157816995
2.975825208,7.286697235,-0.041763153,2.790497131,7.802856848
2.985877208,7.91568924,0.6728508,1.297801208,8.049543609
2.995929208,7.517068176,0.829874268,1.188977509,7.655630136
3.005980208,7.564968567,1.254840546,1.147962799,7.753785708
3.016032208,7.322173462,1.689985657,1.255588989,7.618843707
3.026084208,8.180189209,3.021915894,3.006198578,9.224136873
3.036136208,9.576335907,4.387675781,5.132975922,11.71773656
3.046187208,8.057145081,4.299808502,7.660170593,11.91990577
3.056239208,5.917045441,3.532653809,6.457421722,9.444012123
3.066291208,4.626129913,2.778522034,6.202052765,8.221114351
3.076343208,3.844305725,2.56955658,10.34858002,11.33465553
3.086395208,3.509452057,2.933000793,7.217690735,8.544811697
3.096446208,1.769021301,2.378254395,7.991581421,8.523549961
3.106498208,0.629740448,0.530945892,9.962532806,9.996526221
3.116550208,-0.603395233,-0.767454071,9.814790039,9.863223361
3.126602208,-1.757794647,-1.222358093,8.28182785,8.554102751
3.136654208,-2.461181946,-0.669108582,8.05250473,8.446771886
3.146705208,-2.02424057,-0.046702881,6.65665741,6.957788364
3.156757208,-1.628463593,0.266595612,7.016509094,7.207937761
3.166809208,-1.159788208,1.078656921,8.790619812,8.932166933
3.176861208,-1.272204437,1.74926239,9.682914276,9.921554914
3.186912208,-2.00313446,1.999841309,10.15877472,10.54573927
3.196964208,-3.282374268,2.004032593,10.19110748,10.89260296
3.207016208,-4.54574707,1.682800598,10.12808853,11.22825951
3.217068208,-5.461692352,1.279389496,10.27104126,11.70304274
3.227120208,-6.105054474,0.936752014,10.36145325,12.06270732
3.237171208,-6.272406464,0.540975037,10.4244722,12.17806871
3.247223208,-5.617218933,0.083526306,10.30546967,11.73724117
3.257275208,-4.816983032,-0.422571259,9.970615997,11.08129394
3.267327208,-4.474046173,-0.587228851,9.423503723,10.44817445
3.277378208,-4.759203186,-0.442030792,8.506360931,9.757232317
3.287430208,-5.267546082,-0.49142807,7.636220398,9.289801141
3.297482208,-5.63158905,-0.847537537,6.947352905,8.983252612
3.307534208,-5.457201691,-0.952918396,6.634802856,8.643478045
3.317586208,-4.374503174,-0.998872833,6.844067688,8.183843075
3.327637208,-3.059188385,-1.080453186,6.867568817,7.595361355
3.337689208,-2.080972595,-1.32220047,7.293582916,7.699026742
3.347741208,-1.496887207,-1.671124878,7.900570679,8.212937764
3.357793458,-1.724114685,-2.084714813,8.059240723,8.501174526
3.367845458,-1.879491577,-2.582878876,8.226742401,8.825136963
3.377896458,-2.091899872,-3.091521149,8.481213226,9.266311341
3.387948458,-1.768721924,-3.543132019,8.967252502,9.802743452
3.398000458,-1.034947815,-3.513343964,8.890761566,9.615630193
3.408052458,-1.471739502,-3.704346771,8.791368256,9.652790165
3.418103458,-1.887574768,-4.492906952,8.708889771,9.979674966
3.428155458,-2.08276886,-5.167703705,8.218808899,9.92934577
3.438207458,-2.285896454,-5.261259155,7.596403198,9.519007934
3.448259458,-2.641107788,-5.06411911,6.989714813,9.026453671
3.458310458,-3.181035004,-5.183570709,6.430028687,8.850630367
3.468362458,-3.949387207,-5.516628113,6.062542877,9.098641172
3.478414458,-4.857997742,-5.759572906,5.969586182,9.612948627
3.488466458,-5.989045715,-6.090983734,5.992937622,10.43475217
3.498518458,-7.248825989,-6.233637085,6.356232147,11.48065314
3.508569458,-8.428373108,-6.337970123,7.059469757,12.69028966
3.518621458,-9.425449677,-6.566395111,7.741750946,13.85248548
3.528673458,-10.2810704,-6.234834595,8.493787079,14.72134471
3.538725458,-10.62191162,-5.867797852,8.921597443,15.06157226
3.548776458,-11.07696533,-5.520220642,9.231752472,15.44011822
3.558828458,-11.55896301,-4.88628891,9.767937469,15.90276855
3.568880458,-12.00114349,-4.321663055,10.29888336,16.39424336
3.578932458,-12.51262985,-3.978576508,10.92712692,17.08206895
3.588984458,-12.85496796,-3.610641632,11.92555069,17.9026728
3.599035458,-13.01618271,-3.133284302,12.91334656,18.60088713
3.609087458,-13.24879898,-2.692001953,13.41225906,19.043798
3.619139458,-13.54323669,-2.193688202,13.30882416,19.11429644
3.629191458,-13.80668884,-1.704655151,12.50769012,18.70756046
3.639242458,-14.08825333,-1.204395447,11.13414642,17.99718497
3.649294458,-14.37116501,-0.623303833,9.338031464,17.14986073
3.659346458,-14.54315735,0.040266266,7.430997162,16.33171044
3.669398458,-14.52324875,0.81670166,5.838309174,15.67410635
3.679450458,-14.60018875,1.555265808,4.482728119,15.35184727
3.689501458,-14.7043721,2.219584351,3.63189743,15.30803033
3.699553458,-14.85555771,2.955304413,3.248544617,15.4911091
3.709605458,-15.13337997,3.609893188,2.818039856,15.81113111
3.719657458,-15.00554581,3.727099457,3.4120047,15.83349145
3.729708458,-14.25291092,3.392545166,4.088597717,15.2108995
3.739760458,-13.79920441,3.398083649,2.130070496,14.37018493
3.749812458,-12.65707947,6.837780762,-10.14889526,17.60559518
3.759864458,-9.674531708,7.325316925,-5.053940277,13.14530883
3.769916458,-11.89471481,2.986739044,1.624721375,12.37111839
3.779967458,-10.84105591,1.186133423,-0.943637695,10.9464998
3.790019458,-10.63897614,-0.184416504,-4.244124298,11.45575898
3.800071458,-12.22013809,-1.588646393,-5.592071228,13.53243633
3.810123458,-13.47318237,-3.022963715,-0.692909088,13.82552263
3.820174458,-11.47828079,-1.446891174,4.501439209,12.41399931
3.830226458,-8.556506653,-0.128582611,5.176235962,10.00118785
3.840278458,-7.790699158,-0.487536163,4.796475677,9.16181553
3.850330458,-7.841443634,-0.885558472,4.878505096,9.277513894
3.860381458,-8.278235321,-1.37953125,4.999303894,9.768588738
3.870433458,-8.671766968,-1.978435822,4.529580688,9.981525528
3.880485458,-9.033564606,-2.402803345,3.637136536,10.03032978
3.890537458,-8.993597717,-2.667902069,2.493215332,9.706627841
3.900589458,-8.390801239,-2.877017212,1.680854645,9.028180648
3.910640458,-7.449408875,-3.273243256,1.49419281,8.272872908
3.920692458,-6.495292969,-4.10581192,1.631457367,7.855455137
3.930744458,-5.620512085,-4.588408356,1.783541107,7.471590608
3.940796458,-4.89092926,-5.133424988,1.114881592,7.177478812
3.950847458,-4.784051514,-5.501060486,0.695304108,7.323405161
3.960899458,-4.392615509,-5.565726013,1.554816742,7.258776217
3.970951458,-3.812422028,-5.952371979,2.413730621,7.469363387
3.981003458,-3.488345947,-6.247408447,2.875969391,7.711671005
3.991055458,-3.907923431,-5.98844696,3.176095276,7.824381365
4.001106458,-4.637506256,-5.856571198,3.503763885,8.251196994
4.011158458,-5.166805573,-5.506598969,3.608995056,8.369190961
4.021210458,-6.031108246,-4.698878632,3.778442688,8.528209438
4.031262458,-7.949967957,-3.895349579,3.986659698,9.709232431
4.041313458,-8.663085022,-3.02236496,4.183650055,10.08398036
4.051365458,-9.147178345,-2.870281219,4.609065399,10.63733377
4.061417458,-11.3706546,-3.460653534,5.243595886,12.99088938
4.071469458,-14.40559341,-3.914360046,6.26582016,16.18962132
4.081520458,-16.58880341,-3.785777435,7.113956451,18.44258349
4.091572458,-16.72187668,-3.179538116,5.27937149,17.82140246
4.101624458,-15.65983521,-3.277135162,-0.482746124,16.00634553
4.111676458,-12.66501297,-3.671265564,-2.011517029,13.33892594
4.121728458,-8.298742676,-2.046993256,-0.796044617,8.584462617
4.131779458,-6.165528717,-0.202977905,-1.757644958,6.414379174
4.141831458,-7.160060577,-0.610131226,-2.100731506,7.486775036
4.151883458,-8.244106293,-2.271676025,-0.989592133,8.608431513
4.161935458,-8.957373047,-3.291056213,0.640817413,9.564320669
4.171986458,-8.456963654,-3.370540924,1.928739166,9.305955896
4.182038458,-7.071444855,-3.333268433,2.475552063,8.200266386
4.192090458,-6.077362061,-3.630400543,2.335742798,7.454517566
4.202142458,-5.081333313,-3.827091522,1.830094299,6.619352151
4.212193458,-4.055666199,-3.568130035,1.538201294,5.616586462
4.222245458,-3.747307434,-3.688629456,1.612596588,5.499888001
4.232297458,-3.279530182,-4.199966125,1.768422546,5.614476999
4.242349458,-2.35654953,-4.181554413,2.433040466,5.381301785
4.252401458,-2.092199249,-3.868555298,3.22474411,5.453621949
4.262452458,-2.302811279,-3.969744873,4.296964417,6.286948174
4.272504458,-3.238066406,-4.879403229,5.859415283,8.284105104
4.282556458,-4.783901825,-5.362598419,7.184609528,10.16178097
4.292608458,-5.457950134,-4.884792023,8.287066956,11.06010359
4.302659458,-6.640790405,-4.531975708,7.861501923,11.24464822
4.312711458,-8.64227829,-4.211941223,4.900958405,10.79114527
