"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.186869167E-1,1.141708763E0,-2.694608642E0,-9.117772697E0,9.575917376E0
8.286569167E-1,1.112710886E0,-2.941196836E0,-8.910205312E0,9.448837127E0
8.386269167E-1,9.971343099E-1,-3.266261972E0,-8.475870041E0,9.138003997E0
8.485969167E-1,8.761153646E-1,-3.621661002E0,-8.007235587E0,8.831751145E0
8.585669167E-1,8.396240611E-1,-3.774261636E0,-7.542276692E0,8.475609546E0
8.685379167E-1,1.027800617E0,-3.690562545E0,-7.180843921E0,8.138866347E0
8.785079167E-1,1.376144104E0,-3.480251062E0,-7.090171732E0,8.017259834E0
8.884779167E-1,1.675074818E0,-3.316439854E0,-7.324115322E0,8.212631381E0
8.984479167E-1,1.760284392E0,-3.428918063E0,-7.720406855E0,8.629064968E0
9.084179167E-1,1.586460850E0,-3.531187912E0,-8.074801918E0,8.954807206E0
9.183879167E-1,1.470754392E0,-3.185548762E0,-8.244327317E0,8.959898008E0
9.283579167E-1,1.555753758E0,-2.340153937E0,-8.129901985E0,8.601860060E0
9.383289167E-1,1.859919192E0,-1.231317489E0,-7.279023349E0,7.613121770E0
9.482989167E-1,2.329495925E0,-4.953240699E-1,-5.750085799E0,6.223775695E0
9.582689167E-1,2.832334544E0,6.142704695E-2,-2.688060345E0,3.905324656E0
9.682389167E-1,3.068931600E0,5.782332024E-1,-1.939302746E0,3.676083506E0
9.782089167E-1,3.373783205E0,1.234596608E0,-1.279960184E0,3.813782895E0
9.881789167E-1,3.601542487E0,2.312486959E0,-1.434861113E0,4.514147831E0
9.981489167E-1,3.512480038E0,3.291922478E0,-2.700482755E0,5.519680854E0
1.008118917E0,3.115878018E0,4.239510260E0,-3.502447677E0,6.320544502E0
1.018089917E0,2.503297101E0,4.906189324E0,-3.709997520E0,6.640878832E0
1.028059917E0,1.702946156E0,5.283435305E0,-3.226011202E0,6.420425415E0
1.038029917E0,1.580953065E0,4.720176530E0,-1.955289034E0,5.348143068E0
1.047999917E0,2.313227071E0,3.645110384E0,9.458631456E-2,4.318193576E0
1.057969917E0,3.432403296E0,3.241391133E0,2.366462899E0,5.280923737E0
1.067939917E0,3.933298301E0,3.074652516E0,3.552186432E0,6.127181413E0
1.077909917E0,2.385707548E0,2.638003501E0,3.671988280E0,5.112158145E0
1.087880917E0,9.791090251E-1,2.631644947E0,4.475079376E0,5.283043160E0
1.097850917E0,1.613458175E0,2.970684637E0,5.100232099E0,6.118870971E0
1.107820917E0,2.707078414E0,3.217649099E0,5.191015384E0,6.680432619E0
1.117790917E0,2.769290450E0,2.698598782E0,5.480228026E0,6.707033934E0
1.127760917E0,1.358831522E0,2.332120009E0,4.127687523E0,4.931836487E0
1.137730917E0,-5.328281841E-1,2.224247797E0,1.575604763E0,2.777357468E0
1.147700917E0,-2.316397431E0,2.160683886E0,-6.378628153E-1,3.231272332E0
1.157671917E0,-2.633006178E0,2.561758148E0,-1.820472121E0,4.099932327E0
1.167641917E0,-2.036520454E0,3.166327794E0,-6.497110283E-1,3.820362768E0
1.177611917E0,-5.878517260E-1,3.388702376E0,5.334783799E0,6.347345242E0
1.187581917E0,1.121287947E0,2.791708090E0,8.749483480E0,9.252263609E0
1.197551917E0,2.428206281E0,1.069846337E0,1.292349732E1,1.319308683E1
1.207521917E0,-3.696283753E-1,-2.032549537E-1,1.523774576E1,1.524358335E1
1.217491917E0,-3.284657021E0,-1.865816840E0,1.524826841E1,1.570923084E1
1.227461917E0,-4.422769600E0,-2.676249262E0,1.363862115E1,1.458544439E1
1.237432917E0,-4.474379464E0,-2.240357754E0,1.098919161E1,1.207483361E1
1.247402917E0,-3.308720067E0,-1.268717304E0,8.346858829E0,9.067928340E0
1.257372917E0,-1.624479592E0,-3.403430708E-1,6.499884202E0,6.708447063E0
1.267342917E0,-3.435398898E-1,2.119428563E-1,6.278508618E0,6.291471203E0
1.277312917E0,-4.261490967E-1,-2.096850271E-1,7.630873119E0,7.645638981E0
1.287282917E0,-1.239427578E0,-1.920591364E0,1.006213779E1,1.031850128E1
1.297252917E0,-1.023673287E0,-3.837380868E0,1.303827700E1,1.362974930E1
1.307223917E0,2.921037244E-1,-5.381434055E0,1.487229712E1,1.581867184E1
1.317193917E0,1.834927315E0,-5.527053114E0,1.431698471E1,1.545610965E1
1.327163917E0,4.126279514E0,-4.217477659E0,1.135137048E1,1.279323698E1
1.337133917E0,6.440296397E0,-2.610800792E0,7.887449527E0,1.051216241E1
1.347103917E0,7.571546685E0,-1.322986336E0,4.691038100E0,9.004690472E0
1.357073917E0,6.984585636E0,-7.492414561E-1,2.339358716E0,7.403944791E0
1.367043917E0,4.716261234E0,-1.928344479E0,1.414170156E0,5.287864379E0
1.377013917E0,1.934799221E0,-4.440448949E0,1.855772932E0,5.186996054E0
1.386984917E0,-3.813323084E-1,-5.984301285E0,2.588940099E0,6.531453669E0
1.396954917E0,-1.251941935E0,-6.033582788E0,2.304426280E0,6.578895070E0
1.406924917E0,-1.000967306E0,-5.640775026E0,7.066822046E-1,5.772320000E0
1.416894917E0,-6.343427914E-1,-4.777689158E0,-1.061663159E0,4.935162929E0
1.426864917E0,-5.915598840E-1,-4.204294235E0,-2.464527138E0,4.909167661E0
1.436834917E0,-3.438137953E-1,-3.843373971E0,-3.567009709E0,5.254834885E0
1.446804917E0,3.426705185E-1,-3.045712307E0,-4.530667686E0,5.469985029E0
1.456775917E0,7.596617791E-1,-2.041997979E0,-5.448544303E0,5.868004498E0
1.466745917E0,3.788383978E-1,-1.900276090E0,-6.384195871E0,6.671770730E0
1.476715917E0,-4.826103958E-1,-2.510038941E0,-7.553626723E0,7.974364235E0
1.486685917E0,-1.595856594E0,-2.897863120E0,-8.480668851E0,9.103082615E0
1.496655917E0,-2.253911600E0,-3.054056284E0,-9.646953315E0,1.036682620E1
1.506625917E0,-2.199789479E0,-3.332635472E0,-1.117128911E1,1.186352533E1
1.516595917E0,-2.164823714E0,-3.530162018E0,-1.210249913E1,1.279136391E1
1.526565917E0,-2.096911228E0,-3.537187447E0,-1.292904048E1,1.356719645E1
1.536536917E0,-1.841759348E0,-3.532639191E0,-1.350253540E1,1.407799983E1
1.546506917E0,-1.331476931E0,-3.262166583E0,-1.398335545E1,1.442042965E1
1.556476917E0,-2.546676388E-1,-2.802232493E0,-1.443414888E1,1.470584973E1
1.566446917E0,9.648695932E-1,-2.308793273E0,-1.475824367E1,1.496887624E1
1.576416917E0,1.646841684E0,-2.454409408E0,-1.467067811E1,1.496546054E1
1.586386917E0,1.830615286E0,-3.051212198E0,-1.394210334E1,1.438899905E1
1.596356917E0,1.905615913E0,-3.306634073E0,-1.259603571E1,1.316150890E1
1.606327917E0,2.204914710E0,-3.737093810E0,-1.159465676E1,1.237996706E1
1.616297917E0,2.504399594E0,-4.631741779E0,-1.049395817E1,1.174087762E1
1.626267917E0,2.437263910E0,-5.491268739E0,-9.684711125E0,1.139683804E1
1.636237917E0,2.878977783E0,-6.042750052E0,-1.028039213E1,1.226742856E1
1.646207917E0,3.817436307E0,-5.851009326E0,-1.044114027E1,1.256282374E1
1.656177917E0,5.119491073E0,-4.414935501E0,-1.100153391E1,1.291257498E1
1.666147917E0,6.221380152E0,-3.339010691E0,-1.135090505E1,1.336778249E1
1.676117917E0,7.116026950E0,-3.360985112E0,-1.105420329E1,1.356943149E1
1.686088917E0,8.474573713E0,-3.477622738E0,-9.845156969E0,1.344765315E1
1.696058917E0,9.115770611E0,-4.087351676E0,-8.584751043E0,1.317200319E1
1.706028917E0,9.538630722E0,-4.896037388E0,-8.356586257E0,1.359371884E1
1.715998917E0,1.014349361E1,-5.471846627E0,-6.530957476E0,1.324707415E1
1.725968917E0,1.050549122E1,-5.667667540E0,-3.949102448E0,1.257311462E1
1.735938917E0,1.058818371E1,-4.744148360E0,-2.714461108E0,1.191574073E1
1.745908917E0,1.258558907E1,-2.335331154E0,-9.236589289E-1,1.283370444E1
1.755879917E0,1.806326069E1,-4.820035279E-1,7.530418539E0,1.957602916E1
1.765849917E0,2.620223873E1,-1.670525685E0,2.166914503E1,3.404261765E1
1.775819917E0,3.040037584E1,-3.589565928E0,3.302021848E1,4.502668834E1
1.785789917E0,2.691500262E1,-4.421504263E0,3.558901726E1,4.483910364E1
1.795759917E0,1.960084686E1,-4.870213745E0,2.863305023E1,3.503945983E1
1.805729917E0,1.231314507E1,-4.978014182E0,1.859792074E1,2.285337661E1
1.815699917E0,7.867556130E0,-5.281967070E0,9.749751459E0,1.359614905E1
1.825669917E0,5.698313967E0,-5.183483586E0,4.124379169E0,8.737836556E0
1.835640917E0,4.813242568E0,-5.148928295E0,1.480727257E0,7.202174659E0
1.845610917E0,4.644805335E0,-4.827562400E0,6.494970202E-1,6.730633083E0
1.855580917E0,4.377699847E0,-4.033049169E0,6.865291911E-1,5.991749650E0
1.865550917E0,3.741071379E0,-3.792806666E0,1.149089558E0,5.449899474E0
1.875520917E0,2.527875288E0,-4.049971011E0,1.441070856E0,4.986893208E0
1.885490917E0,2.834367621E-1,-4.560765936E0,1.673742092E0,4.866449929E0
1.895460917E0,-2.202915108E0,-5.302039976E0,1.745186881E0,6.000844951E0
1.905432333E0,-4.592039477E0,-5.800665969E0,2.162478104E0,7.707844302E0
1.915402333E0,-6.389730261E0,-6.143799294E0,2.783233720E0,9.290926354E0
1.925372333E0,-7.272015461E0,-6.403635525E0,3.247020248E0,1.021919259E1
1.935342333E0,-7.538646156E0,-6.410118917E0,3.442961029E0,1.047734657E1
1.945312333E0,-7.411232988E0,-6.143347889E0,3.256651781E0,1.016232643E1
1.955282333E0,-6.992048437E0,-5.782922593E0,2.777842003E0,9.489327755E0
1.965252333E0,-6.152619234E0,-5.253867105E0,2.327899635E0,8.418845510E0
1.975222333E0,-4.921361094E0,-4.467238845E0,2.235277108E0,7.012309296E0
1.985193333E0,-3.976653358E0,-3.855638506E0,2.395225207E0,6.034635367E0
1.995163333E0,-3.467788891E0,-3.356851130E0,2.862404435E0,5.611360660E0
2.005133333E0,-3.165943925E0,-2.701520051E0,3.539166437E0,5.463250918E0
2.015103333E0,-2.954961766E0,-2.165206707E0,4.265021662E0,5.622306368E0
2.025073333E0,-2.504272417E0,-1.868602892E0,5.068185264E0,5.953953222E0
2.035043333E0,-1.866339435E0,-1.714389596E0,6.139748343E0,6.642203271E0
2.045013333E0,-1.652761697E0,-1.233009381E0,7.357307042E0,7.640804949E0
2.054984333E0,-1.246419970E0,-1.412476802E-1,8.195920558E0,8.291358601E0
2.064954333E0,-3.506078213E-1,1.887959515E0,8.691716498E0,8.901306233E0
2.074924333E0,-1.688354284E-1,4.307305802E0,8.997987222E0,9.977232218E0
2.084894333E0,-7.931496602E-1,6.641027218E0,9.006721208E0,1.121843821E1
2.094864333E0,-1.438815585E0,8.625179862E0,8.948267763E0,1.251141135E1
2.104834333E0,-2.176452364E0,9.689533909E0,9.121648232E0,1.348437906E1
2.114804333E0,-2.987806161E0,9.522794123E0,9.281197112E0,1.362905769E1
2.124774333E0,-3.861876023E0,8.625749381E0,9.256737624E0,1.322893912E1
2.134745333E0,-4.467138857E0,7.691330990E0,9.003150898E0,1.265577449E1
2.144715333E0,-3.697600254E0,6.341612939E0,8.465416389E0,1.120498001E1
2.154685333E0,-1.665199310E0,4.272007915E0,7.463093698E0,8.759035787E0
2.164655333E0,1.565470369E0,2.102615479E0,5.795135672E0,6.360447059E0
2.174625333E0,4.702966420E0,-3.015239543E-1,3.844918806E0,6.082122201E0
2.184595333E0,7.630678992E0,-3.515341665E0,1.858019432E0,8.604482849E0
2.194565333E0,1.016106449E1,-8.001775457E0,1.265065572E-1,1.293412718E1
2.204536333E0,1.217732478E1,-1.285084333E1,-1.331691670E0,1.775400844E1
2.214506333E0,1.228011883E1,-1.582532544E1,-1.990299676E0,2.012966807E1
2.224476333E0,1.141761125E1,-1.629034398E1,-2.222776053E0,2.001694000E1
2.234446333E0,1.149379229E1,-1.660301214E1,-2.929983630E0,2.040470723E1
2.244416333E0,1.263441098E1,-1.675363408E1,-3.427166822E0,2.126165723E1
2.254386333E0,1.407323417E1,-1.563146101E1,-2.855778955E0,2.122625654E1
2.264356333E0,1.607044423E1,-1.448041672E1,-2.185941811E0,2.174212473E1
