"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.137054167E0,1.203579175E0,-1.143144109E0,3.719261849E-1,1.701090936E0
1.147025167E0,5.656099409E-1,-1.977137740E0,2.652824731E-1,2.073490544E0
1.156996167E0,-7.813634276E-2,-2.741826078E0,2.126013990E-1,2.751166095E0
1.166967167E0,-6.010943538E-1,-3.226638608E0,2.882433195E-1,3.294783049E0
1.176938167E0,-1.098119963E0,-3.342965455E0,4.356631744E-1,3.545572999E0
1.186909167E0,-1.523869184E0,-3.333680661E0,5.744411369E-1,3.710200353E0
1.196881167E0,-1.682178454E0,-3.232551312E0,6.188557099E-1,3.696227094E0
1.206852167E0,-1.618185942E0,-2.942703078E0,5.904987605E-1,3.409797052E0
1.216823167E0,-1.332730136E0,-2.635559658E0,7.123197976E-1,3.038049344E0
1.226794167E0,-8.976996303E-1,-2.399299693E0,9.129728499E-1,2.719563029E0
1.236765167E0,-5.065530628E-1,-2.211655526E0,1.160871112E0,2.548654137E0
1.246736167E0,-1.915395820E-1,-2.002836545E0,1.347725320E0,2.421653397E0
1.256707167E0,7.085012734E-2,-1.849129910E0,1.586854514E0,2.437705563E0
1.266678167E0,2.014956361E-1,-1.658755678E0,1.860551276E0,2.500744278E0
1.276649167E0,2.722001678E-1,-1.528488776E0,2.007778027E0,2.538019597E0
1.286620167E0,3.106678301E-1,-1.650133081E0,1.927694854E0,2.556454798E0
1.296591167E0,2.339751649E-1,-1.941572635E0,1.737803602E0,2.616182339E0
1.306562167E0,1.967237234E-2,-2.280276403E0,1.569979449E0,2.768552500E0
1.316533167E0,-2.784479177E-1,-2.761735555E0,1.479806613E0,3.145559430E0
1.326504167E0,-5.643896270E-1,-3.205520512E0,1.595151128E0,3.624693714E0
1.336475167E0,-1.001013499E0,-3.393365823E0,1.851519959E0,3.993129824E0
1.346446167E0,-1.400823301E0,-3.618202667E0,1.927888396E0,4.332487753E0
1.356417167E0,-1.716144345E0,-3.750436279E0,1.965302390E0,4.568734747E0
1.366389167E0,-1.982890815E0,-3.827066379E0,1.923720793E0,4.720063002E0
1.376360167E0,-2.229328735E0,-3.805752693E0,2.008618856E0,4.846463647E0
1.386331167E0,-2.487627733E0,-3.765907135E0,2.000986486E0,4.937033036E0
1.396302167E0,-2.780368584E0,-3.566537254E0,2.041571425E0,4.961718586E0
1.406273167E0,-3.078095942E0,-3.446441292E0,1.952729415E0,5.016551043E0
1.416244167E0,-3.320962383E0,-3.440094139E0,1.706631218E0,5.076970450E0
1.426215167E0,-3.546117607E0,-3.401771488E0,1.441468174E0,5.121018437E0
1.436186167E0,-3.784916725E0,-3.456142115E0,1.231478580E0,5.271342564E0
1.446157167E0,-3.932003435E0,-3.719044625E0,1.046594007E0,5.512467954E0
1.456128167E0,-4.048606855E0,-3.932089681E0,1.023784311E0,5.735911527E0
1.466099167E0,-4.146205071E0,-3.995881927E0,1.099268064E0,5.862292993E0
1.476070167E0,-4.255726343E0,-4.049227830E0,1.183681101E0,5.992374627E0
1.486041167E0,-4.325117006E0,-4.089880012E0,1.296049967E0,6.092085123E0
1.496012167E0,-4.322400389E0,-4.196549013E0,1.361361904E0,6.176364220E0
1.505983167E0,-4.247161927E0,-4.455644401E0,1.252753090E0,6.281762632E0
1.515954167E0,-3.977401217E0,-4.580976252E0,1.081684025E0,6.162394356E0
1.525925167E0,-3.666118260E0,-4.461172358E0,9.557928872E-1,5.852864423E0
1.535896167E0,-3.240026393E0,-4.320112081E0,6.601357368E-1,5.440305011E0
1.545868167E0,-2.769324948E0,-4.122157519E0,3.003939798E-1,4.975095961E0
1.555839167E0,-2.407725531E0,-4.018383182E0,1.085749009E-1,4.685758652E0
1.565810167E0,-2.227148309E0,-4.433731668E0,-7.639942735E-2,4.962257849E0
1.575781167E0,-1.977855778E0,-5.063403411E0,-1.710939154E-1,5.438680052E0
1.585752167E0,-1.580326974E0,-5.892702312E0,-1.701580685E-1,6.103304651E0
1.595723167E0,-1.061695318E0,-6.666916350E0,3.903454989E-2,6.751036532E0
1.605694167E0,-5.794742739E-1,-7.210879313E0,3.397492495E-1,7.242099175E0
1.615665167E0,-2.500696260E-1,-7.316123933E0,6.125037333E-1,7.345976112E0
1.625636167E0,2.760353565E-2,-7.027312410E0,7.437766483E-1,7.066617675E0
1.635607167E0,1.953613222E-1,-6.529443047E0,7.296380809E-1,6.572987470E0
1.645578167E0,2.126158708E-1,-5.956185533E0,8.536803290E-1,6.020807397E0
1.655549167E0,3.504815215E-1,-5.516649747E0,1.275765684E0,5.673080276E0
1.665520167E0,4.610763431E-1,-4.956874743E0,1.890376461E0,5.325102983E0
1.675491167E0,4.856083363E-1,-4.295266385E0,2.353075114E0,4.921594383E0
1.685462167E0,6.217326862E-1,-3.671439519E0,2.668956322E0,4.581413267E0
1.695433167E0,9.564208782E-1,-3.066868703E0,2.830286557E0,4.281465465E0
1.705404167E0,1.420661734E0,-2.424399159E0,2.733299083E0,3.920065678E0
1.715375167E0,2.066354556E0,-1.757680042E0,2.482971303E0,3.677554455E0
1.725346167E0,2.780660945E0,-1.171088537E0,2.127264124E0,3.691717257E0
1.735318167E0,3.306069524E0,-6.340802515E-1,1.581047644E0,3.719121552E0
1.745289167E0,3.617647181E0,-4.119047678E-1,1.038714299E0,3.786286315E0
1.755260167E0,3.834310495E0,-4.326793402E-1,4.786317310E-1,3.888217678E0
1.765231167E0,3.893556823E0,-4.187366545E-1,1.694017312E-1,3.919671168E0
1.775202167E0,3.794196841E0,-3.935117662E-1,1.716178259E-1,3.818407241E0
1.785173167E0,3.443110718E0,-1.913840461E-1,4.806829342E-1,3.481766125E0
1.795144167E0,2.931406258E0,1.651715630E-1,8.521004114E-1,3.057204508E0
1.805115167E0,2.387681276E0,4.744612044E-1,1.089360542E0,2.666991132E0
1.815086167E0,1.901111072E0,6.585777462E-1,1.248656238E0,2.367929551E0
1.825057167E0,1.723787826E0,6.915507799E-1,1.515335172E0,2.397066464E0
1.835028167E0,1.509851069E0,8.890007275E-1,1.557481026E0,2.344295137E0
1.844999167E0,1.253724312E0,1.069149933E0,1.338771771E0,2.123020510E0
1.854970167E0,1.028587798E0,1.336620873E0,1.037573507E0,1.980178527E0
1.864941167E0,1.106472126E0,1.385731053E0,7.079340935E-1,1.909372095E0
1.874912167E0,1.163031659E0,1.494498035E0,3.810408247E-1,1.931672624E0
1.884883167E0,1.074056332E0,1.513611413E0,2.690540734E-1,1.875368393E0
1.894854167E0,1.015368413E0,1.514808338E0,3.655845872E-1,1.859911129E0
1.904825167E0,9.420098305E-1,1.545539550E0,4.708783230E-1,1.870241005E0
1.914796542E0,9.587533325E-1,1.683529746E0,6.287546074E-1,2.036863450E0
1.924767542E0,1.055648128E0,1.989739074E0,7.858377171E-1,2.385580741E0
1.934738542E0,1.172709385E0,2.352941213E0,8.101507321E-1,2.750985980E0
1.944709542E0,1.330325176E0,2.609715257E0,5.606456548E-1,2.982398757E0
1.954680542E0,1.580643309E0,2.631482686E0,1.881584296E-1,3.075473621E0
1.964651542E0,1.958494477E0,2.567569696E0,-1.261478305E-2,3.229283805E0
1.974622542E0,2.420989355E0,2.578983461E0,-6.701493859E-2,3.537914096E0
1.984593542E0,2.808324122E0,2.634475876E0,8.655048609E-2,3.851576107E0
1.994564542E0,2.955659924E0,2.848601498E0,4.717311394E-1,4.131947041E0
2.004535542E0,3.006758156E0,3.014220373E0,7.920895600E-1,4.330534025E0
2.014506542E0,3.031555613E0,3.080108553E0,1.079051901E0,4.454408057E0
2.024477542E0,3.007794283E0,3.187897881E0,1.269003964E0,4.562881809E0
2.034448542E0,2.941263494E0,3.363876268E0,1.286951115E0,4.650047060E0
2.044419542E0,2.944163128E0,3.569410576E0,1.087461366E0,4.753036988E0
2.054390542E0,3.049300743E0,3.916618826E0,8.221500957E-1,5.031308859E0
2.064361542E0,3.278190000E0,4.244388592E0,5.017741334E-1,5.386384825E0
2.074332542E0,3.624642790E0,4.471917202E0,1.898664013E-1,5.759524986E0
2.084303542E0,3.982843806E0,4.640290700E0,4.410262406E-3,6.115174733E0
2.094274542E0,4.351739963E0,4.769636958E0,-1.989246154E-1,6.459616739E0
2.104246542E0,4.568908476E0,4.803718624E0,-2.742963946E-1,6.635199755E0
2.114217542E0,4.682113495E0,4.812254389E0,-2.365037933E-1,6.718326661E0
2.124188542E0,4.706088833E0,4.693791554E0,-1.826798809E-1,6.649234783E0
2.134159542E0,4.655889317E0,4.506231002E0,-2.123428059E-1,6.482940124E0
2.144130542E0,4.647800279E0,4.339039811E0,-2.966722271E-1,6.365322327E0
2.154101542E0,4.633540674E0,4.289834906E0,-4.351509583E-1,6.329434340E0
